Reaction,Flux
PPND,0.0
PRPPtm,0.0
PTD1INOtn_SC,0.0
PTPATim,0.0
PYDAMK,-5.0234641533047417e-08
PYDXK,0.0
PYDXNK,0.0
PYNP2r,0.0
PYRt2p,0.0
QULNtm,0.0
RIBFLVtm,0.0
SHSL1,0.0032001089019862306
SHSL4r,-0.0032001089019862306
SPMDAT1,0.0
SUCRt2,0.0
TMDK1,0.0
TMN,0.0
MPK,0.0
TREHv,0.0
TRPt2m,0.0
TYRt2m,0.0
UMPtn,0.0
XYLTD_D,0.0
ACOHT,0.0
NFORTYRS,0.0
COAHLm,0.0
PSPH1Pter,0.0
SPH1Pter,0.0
2MBACt,0.0
ACESt,0.0
IAMACt,0.0
IBUTACt,0.0
PHEACt,0.0
TAURt,0.0
FRDPtm,0.0
AMPtn,0.0
ASPt5n,0.0
MI145Ptn,0.0
PI4Ptn,0.0
23CAMPH,0.0
AC2MBTOHT,0.0
AC2PHETOHT,0.0
ACIAMOHT,0.0
ACIBUTOHT,0.0
PECTH,0.0
5AOPt2,0.0
ABUTt2r,0.0
AKGt2r,0.0
ARAB1D1,0.0
CBASPtn,0.0
CERH124,0.0
CERH126,0.0
CERS2d24,0.0
CERS2d26,0.0
CERS324,1.215602189058464e-05
CERS326,8.5478093989091e-06
CITt2r,0.0
CYOR_u6m,3.2448506784443083
DNMPPA,0.0
FACOAL240p,0.0
FACOAL260p,0.0
FAO182p_even_even,0.0
FAO182p_even_odd,0.0
FAO182p_odd_odd,0.0
OCDCYAt,0.0
PAPt,0.0
PDE2,0.0
pla2_2e,0.0
SBTD_D2,0.0
SBTD_L,0.0
SBTR,0.0
PDXPHT,-5.0234641533047417e-08
E4PDH,0.0
EPISTESTH_Ppe,0.0
ERGSTESTH_Ppe,0.0
FECOSTESTH_Ppe,0.0
LANOSTESTH_Ppe,0.0
ZYMSTESTH_Ppe,0.0
plbpc_ppe2,0.0
CERS124er,0.0
CERS126er,0.0
CERASE124er,0.0
CERASE126er,0.0
CERASE224er,0.0
CERASE226er,0.0
PTE12x,0.0
MN1PP,0.0
MN6PR,0.0
MNDH,0.0
PDX5PSYN,0.0
CERS224er,0.0
CERS226er,0.0
IPC124PLC_PP,0.0
IPC126PLC_PP,0.0
IPC224PLC_PP,0.0
IPC226PLC_PP,0.0
IPC324PLC_PP,0.0
IPC326PLC_PP,0.0
IPCS124_PP,0.0
IPCS126_PP,0.0
IPCS224_PP,1.1897081719757244e-07
IPCS226_PP,9.587648209451426e-08
IPCS324_PP,1.1179757674889527e-05
IPCS326_PP,7.922056768685411e-06
MIP2C124PLC_PP,0.0
MIP2C126PLC_PP,0.0
MIP2C224PLC_PP,0.0
MIP2C226PLC_PP,0.0
MIP2C324PLC_PP,0.0
MIP2C326PLC_PP,0.0
MIP2CS124_PP,0.0
MIP2CS126_PP,0.0
MIP2CS224_PP,0.0
MIP2CS226_PP,0.0
MIP2CS324_PP,4.11569044669955e-06
MIP2CS326_PP,2.8077112858627094e-06
MIPC124PLC_PP,0.0
MIPC126PLC_PP,0.0
MIPC224PLC_PP,0.0
MIPC226PLC_PP,0.0
MIPC324PLC_PP,0.0
MIPC326PLC_PP,0.0
PYMDSYN,0.0
ALADt2r,0.0
EPISTt,0.0
PHEDt2r,0.0
ALADO,0.0
PHEDO,0.0
13BGHe,0.0
2DDA7Ptm,-0.04230857282107918
2OXOADPtim,0.0
34HPLFM,0.0
34HPPt2m,0.0
3OPHB_5tm,0.0
4ABZtm,7.535196237459796e-08
4HBZCOAFm,0.0
4HBZFm,0.0
4HGLSDm,0.0
4HTHRS,0.0
AASAD1,0.0
ACACT1m,0.011265992457455647
ACALDt,0.0
