Reaction,Flux
G5SADsm,0.013579260863554926
NADPPPS,-8.372440306672613e-08
QULNS,1.6744880487751246e-07
PHOSPHOLIPIDS,0.0007212187491882043
PROTEINS,0.04102495729170672
CARBOHYDRATES,0.02762905286992494
RNA,0.004856015352895898
DNA,8.372440263613618e-05
COF,0.08372440263613617
CERS124,1.3726044005736979e-05
CERS126,9.634786239835227e-06
LGTHL,0.008130045231955485
METOHte,-1.24
METOHtx,1.24
O2tx,-0.6181980726938825
CDPDGPm_PP,9.95281873879722e-06
13GS,0.08468304704631993
3C3HMPtm,-0.02527137369169134
3DSPHR,3.20026666342e-05
3MOBtm,-0.020808398854815047
3MOPtm,-0.0158766584718905
4HBZtm,8.372440263564734e-08
5AOPtm,-6.697952210890894e-07
AATA,0.02309705095523088
ABTA,8.37244026365147e-08
ACCOACr,0.06852783041802747
ACGAM6PS,0.005663955838334612
ACGAMPM,0.005663955838334612
ACGKm,0.029661044121903957
ACLSm,0.04607977254650639
ACOATA,0.008734450633891703
ACONT,0.08741281833285883
ACONTm,0.33161063595048373
ACOTAim,0.029661044121903957
ACS,0.09880289536208212
ACtm,0.0438883145465212
ADCL,8.372440263304526e-08
ADCS,8.372440263304526e-08
ADK1m,0.0438883145465212
ADNK1,0.0030982150740231796
ADSK,0.0033319344973533685
ADSL1r,0.011005502054844482
ADSL2r,0.007836566904827782
ADSS,0.011005502054844482
AGAT_PP,0.0032882436411260083
AGPRim,0.029661044121903957
AHCi,0.0030982150740231796
AHCYStm,-2.5117320790694203e-07
AICART,0.01448260998608427
AIRCr,0.007836566904827782
AKGDbm,0.2243248419665037
ALASm,6.697952210890894e-07
ALATA_L,-0.10071043516160078
AMETtm,2.511732079073757e-07
ANPRT,0.005087094704171634
ANS,0.005087094704171634
ARGSL,0.02498419899064939
ARGSSr,0.02498419899064939
ASADi,0.023917633825467657
ASNS1,0.015958708386473914
ASPCT,0.007610338888618192
ASPKi,0.023917633825467657
ASPTA,-0.14092563492155735
ASPTAm,0.0336450645274774
ATP2tp_H,0.08741281833285862
ATPM,1.96
ATPPRT,0.006646043081256489
ATPS3m,7.915787635643602
BPNT,0.0033319344973533685
C14STR,0.002076072054521132
C24STRer,0.001932117706453643
C3STDH1,0.002076072054521132
C3STKR1,0.002076072054521132
C4STMO1,0.002076072054521132
C5STDS,0.001932117706453643
C8STI,0.001964663906886293
CATp,0.6218019273061175
CBPS,0.03259453787926758
CHORM,0.01903558018335192
CHORS,0.024122842336328824
CHRPL,8.372440263564734e-08
CHTNS,0.005663955838334612
CITtam,0.049060653152324794
CITtcm,-0.024937810815996164
CLPNSm_PP,9.95281873879722e-06
CO2t,-2.3730679688968106
CO2tm,-1.0682366740410132
CPPPGO,8.372440263613617e-08
CSm,0.33161063595048373
CSp,0.08741281833285862
CTPS1,0.003775066335341276
CYTK1,-0.003021859880979201
DADK,-8.008239112146426e-05
DAGPYP_PP,0.0025260407134536454
DB4PS,3.348976105445447e-07
DCMPDA,-5.587766631935729e-05
DGK1,-5.587766631935729e-05
DHAD1m,0.04607977254650639
DHAD2m,0.0158766584718905
DHAK,0.22319999999999998
DHFRi,8.01661155240973e-05
DHFS,8.372440263304526e-08
DHNPAm,8.372440263304526e-08
DHORTS,-0.007610338888618192
DHQS,0.024122842336328824
DHQTi,0.024122842336328824
DMATT,0.004172673523460282
DOLPMTcer,0.028457924456022687
DPCOAK,8.745507919738493e-06
DPMVD,0.012518271743588752
DPR,8.745507919738493e-06
ENO,0.9966044986337133
FBA,0.27492537893343816
FCLTm,8.372440263613617e-08
FDH,0.9612963102305233
FE2t,8.372440263613617e-08
FMNAT,8.372440263613617e-08
FRTT,8.372440263564734e-08
FTHFLi,0.057580264170413585
FUM,0.10630068939636586
FUMm,0.2243248419665037
G3PD1ir,0.0032981964598648057
G6PDH2,0.288
GALU,0.13417373021886675
GAPD,0.9966044986337133
GARFTi,0.007836650629230418
GF6PTA,0.005663955838334612
GHMT2r,-0.04423909413382407
GHMT2rm,0.014954830647625613
GK1,5.604511512462924e-05
GLCS2,0.048875794526897214
GLNS,0.11804387350884799
GLUDyi,0.48060193048347455
GLUPRT,0.007836650629230418
GLYC3Ptmc,9.95281873879722e-06
GLYOX,0.008130045231955485
GMPS2,0.00347710793123979
GND,0.288
GRTT,0.004172673523460282
GTPCII,1.6744880527227235e-07
H2Ot,-4.780590112150668
